"id","product","price","seller","city","rating","sold"
240,"GROSIR Cuanki Lidah Toping Baso Aci dan Seblak Instan Isi 25 Pcs",7999,"Baso Aci Ayang","Kab. Garut","4.7",100
241,"Mie Instant Indomie Hype Abis Rasa Seblak Hot Jeletot Murah Asli Ready",3599,"TOSERDA","Bandung","4.9",250
242,"seblak instan kering komplit",5000,"ultimateshop","Kab. Bantul","NaN",0
243,"Seblak Instan BABA Variant Original",18000,"Basrengbaba","Kab. Bandung","NaN",8
244,"seblak instant komplit murah",5000,"Dapur Bunda Icha","Kab. Lampung Tengah","NaN",0
245,"[TERMURAH] SEBLAK BAPER INSTAN ORIGINAL",28000,"Arkadewi11","Jakarta Selatan","4.5",4
246,"SEBLAK CUANKI KUAH CUP INSTAN PUSPA ( PUSAKA PARAHYANGAN ) SIAP SAJI",12500,"Berkah Niaga Jaya","Kab. Garut","4.9",1000
247,"Seblak Instan Kumplit Seblak Instan Murah Tapi Rasa Gak Murahan",6000,"dianspshop","Kab. Garut","5",100
248,"Seblak Instan Komplit Bumbu Basah",9859,"Eatbam store","Jakarta Timur","4.7",70
249,"seblak instant",5800,"wafilasnacku7","Kab. Bandung","4.9",90
250,"Seblak kuah instan , Seblak khas garut b",5000,"iwan resistans leather 2","Kab. Garut","4.9",500
251,"Paket Isi 6 Cuanki Instan Lakoca Original | Lakoca Xtra Pedas",93840,"Lakoca Official Shop","Cimahi","NaN",250
252,"Cuanki Express Ginding Instan Pedas Tinggal Seduh 3 Menit 35g",17700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",2000
253,"Paket Isi 30 Cuanki Instan Lakoca | Paket Stok Bulanan | All Variant",563325,"Lakoca Official Shop","Cimahi","NaN",19
254,"Cuanki Instan Viral KAI Ayam Pedas Lite",17200,"Ciomy Top","Semarang","NaN",0
255,"Cuanki Instan Culametan",4500,"CUANKI CULAMETAN","Kab. Garut","NaN",2000
256,"Cuanki Instan Viral Rasa Ayam Pedas Reguler",19200,"Ciomy Top","Semarang","NaN",0
257,"Sami Raos Cuanki Geprek Instan",20250,"Foodstocks","Jakarta Selatan","NaN",90
258,"Cuanki Instan Ciomy Ayam Pedas Pouch Viral",19200,"Ciomy Top","Semarang","NaN",0
259,"Cuanki Instan Culametan spesial",6500,"CUANKI CULAMETAN","Kab. Garut","NaN",1000
260,"Cuanki Instan Cheebhot Cukup Tinggal di Seduh Extra Cebe Bubuk 65 Gram",17700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",250
261,"Baso Aci instan seblak cilok pedas",12000,"93 online","Tasikmalaya","NaN",0
262,"PROMO BELI 1 GRATIS 1 CEMILAN BASRENG PEDAS DAUN JERUK BASRENG VIRAL KEMASAN 1KG MURAH CIMOL JERUK USUS CRISPY BASRENG ORIGINAL BASRENG PEDAS DAUN JERUK BASRENG 100 SEKILO BASRENG BASO ACI SEBLAK INSTAN SEBLAK KERUPUK SEBLAK PAKET INSTAN KULIT AYAM CRISPY",44850,"LUCKY STAR GROSIR","Pekanbaru","5",0
263,"[TERMURAH] SEBLAK BAPER INSTAN ORIGINAL",24000,"syafari_h","Bandung","NaN",0
264,"Seblak Instan",13520,"Ami store Frozen Food","Bekasi","5",8
265,"seblak instan pedas",5000,"Ulfah8686","Kab. Tangerang","4.8",30
266,"Cuanki Instan Lakoca Cukup Tinggal Seduh Extra Cabe Bubuk 45 Gram",17700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",500
267,"Seblak Aduhay69 instan (**)",20000,"Sriyani9843","Semarang","NaN",0
268,"paket usaha 10 seblak instan",37999,"A2kids_Collection","Kab. Boyolali","4",1
269,"SEBLAK INSTAN by Warung KBS",8520,"jajanankbs","Tangerang","5",2
270,"SEBLAK INSTAN KOMPLIT plus cuanki dan mie murah cocok untuk jual lagi",6000,"Yamyam snacks","Jakarta Pusat","4.4",40
271,"seblak instan seblak komplit murah seblak garut",13000,"laatazal-surabaya","Surabaya","4.5",70
272,"Seblak Instan BABA Variant Mie",18000,"Basrengbaba","Kab. Bandung","5",10
273,"SEBLAK INSTAN KOMPLIT",7500,"Vandiva Kuliner","Kab. Malang","5",15
274,"Seblak Instant Carla Bumbu Basah Kualitas Premium",13900,"Gerai Snack Official Shop","Kab. Tangerang","5",2
275,"SEBLAK instant Komplit murah khas bogor",16000,"RIKI STORE 97","Kab. Bogor","NaN",0
276,"READY SEBLAK INSTAN KEMASAN TEH NINA",36000,"kuliner subuh","Jakarta Selatan","NaN",10
277,"seblak momy instan",12000,"AmoraBeautyCare","Kab. Bandung","5",4
278,"seblak kencur termurah 250 gram seblak instan / camilan / snacks",18000,"MuezzaSnack","Kab. Cirebon","4.9",21
279,"Mie Instan Indomie Seblak Hot 75 gram",3250,"Agen Snack Alfa","Kab. Sidoarjo","5",100
280,"seblak instan",8500,"Ummi Frozen Food Online","Semarang","5",26
281,"KACIDA - Seblak Instan Jumbo Pedas Komplit",9000,"KACIDA Raja Cemilan","Kab. Bandung","5",30
282,"Seblak Coet Instan / Seblak Cobek / Seblak Cocol / Seblak Original",8900,"TiTasix Tutug Oncom (TO)","Tasikmalaya","4.5",30
283,"Seblak Instan Candu Terlengkap Asli Bandung",4500,"Cuanki_Bandung","Kab. Bandung","5",60
284,"Seblak Kuah Instan Pedas - Seblak Kemasan By Militan Bukan Sajodo",20000,"NezCorner","Kab. Sidoarjo","NaN",0
285,"Seblak Instan by Juragan Basreng",16000,"Juragan Basreng Cimahi","Cimahi","5",6
286,"SEBLAK BAPPER INSTAN EXTRA HOT",15900,"Ss_Frozenfood","Jakarta Timur","4.9",250
287,"Seblak Instan Komplit KSN",11500,"RN FROZEN FOOD","Jakarta Selatan","5",3
288,"Bumbu Instan Cuanki, Seblak, Baso Aci, Kemasan Ecer",350,"Pusat Grosir Cuanki","Kab. Bandung","4.8",250
289,"Seblak Garut Instant Terpedas termurah Terlaris",9000,"Kiki Rejeki","Kab. Tegal","5",16
290,"TMN SEBLAK INSTAN/SEBLAK KUAH/SEBLAK LENGKAP ENAK PRAKTIS",6000,"EndanR123","Surabaya","NaN",0
291,"Seblak Bapper Instan Hot Spicy/Seblak Bapper Pedas",16900,"V3 OnSHop","Surabaya","4.9",23
292,"Seblak Instan Juara Sehati",12500,"Sehati Foods","Kab. Bandung","4.9",100
293,"SEBLAK RAFAEL | SEBLAK COET | SEBLAK COBEK RAPAEL INSTAN ",4900,"Kairashop_id","Surabaya","5",6
294,"seblak rafael instan",35000,"sarimart48","Jakarta Barat","5",4
295,"Seblak Instan",8000,"RMSTOREMADIUN","Kab. Magetan","NaN",0
296,"Seblak Instant Dapur Bunda",15000,"Epen_Cupen","Tangerang","5",1
297,"Seblak Instan Mie Baso Teh Ida Braga Seblak Instan Bandung Berat 250gr",15000,"Seblak Teh Ida Braga","Bandung","5",4
298,"Cuanki Lidah 100 Pcs - Topingan Seblak - Baso Aci - Bakso - Mie Instan",30500,"Aroma Store43","Depok","NaN",0
299,"Ashiaaap Bakso Aci Seblak Instant (130 gram) / Boci Baso Pedas Makanan Instan Gurih Mantap Jiwa Enak",19500,"Rumah Husnul Khatimah","Cimahi","5",0
300,"seblak instan",4000,"Komasnack","Kab. Mojokerto","5",12
301,"PAKET 10PCS SEBLAK INSTAN RAFAE/SEBLAK INSTAN VIRAL RAFAEL",40500,"Rosliyanilia","Jakarta Utara","5",2
302,"SEBLAK INSTAN+SOSIS",5500,"Griyo Seni","Kab. Sidoarjo","5",40
303,"Seblak Instan LALA komplit rasa mantap ngeunah raos pisan khas Bandung",59999,"Seblak carla","Tangerang","5",100
304,"Seblak Instant Komplit Murah",5000,"TokoJaneeta","Kab. Garut","4.9",60
305,"SEBLAK INSTAN ORI/SEBLAK INSTAN KERUPUK/SEBLAK INSTAN MURAH",3799,"dakar_ofc","Kab. Mojokerto","4.4",250
306,"Seblak Instan CheeBhot",14900,"Verysimple","Bandung","5",100
307,"Seblak suki instan frozen",11000,"Seblak Suki Gacor Yaara","Palembang","NaN",0
308,"SEBLAK INSTAN CUANKI/SEBLAK INSTAN MURAH/SEBLAK INSTAN",4799,"dakar_ofc","Kab. Mojokerto","5",40
309,"Seblak Instan Komplit Paket 10 Bungkus",54900,"Baso Aci Ayang","Kab. Garut","NaN",0
623,"SEBLAK INSTAN ORIGINAL KOMPLIT",10989,"@INKA","Magelang","NaN",0
310,"SEBLAK INSTANT VIRAL KHAS MEGA SNACK (MS)",18500,"Mega Snack 095","Cimahi","5",1
311,"Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr",20700,"Gerai Snack Official Shop","Kab. Tangerang","4.8",100
312,"Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah",18500,"Lemari Wanita","Jakarta Timur","5",4
313,"SEBLAK SEHOT BANDUNG / SEBLAK INSTAN",16000,"LDRFOOD22","Cimahi","4.8",15
314,"seblak instan,seblak kuah",6000,"alif leather 10","Kab. Garut","5",17
315,"SEBLAK INSTAN KEMASAN POUCH | 1KG 5PCS",7000,"ngenyooh_snack","Kab. Garut","4.7",13
316,"Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung",19110,"Foodstocks","Jakarta Selatan","5",250
317,"PAKET MIX SEBLAK INSTAN MADIT",45000,"DAPUR SEBLAK MADIT","Medan","5",15
318,"Seblak Rafael Seblak Coet Instan Halal Terlaris",45000,"naradhipta florist","Jakarta Pusat","NaN",0
319,"Cilok Merapi Seblak Kuah Instan",20000,"Cilok Merapi","Bandung","NaN",0
320,"seblaku -seblak instan",6000,"mustafastore","Tangerang Selatan","5",6
321,"seblak instan/seblaku/Sambal matah/seblak Soto/seblak baso/seblak ORI",7500,"tokopediautsmanbinaffan","Bogor","NaN",0
322,"Makaroni Ceu Wewei 1kg",65000,"Makaroni Ceu Wewei","Kab. Tangerang","NaN",60
323,"Baso Aci Mie Nyemek Teh Shanty Original Lengkap Dengan Gurilem 200g",23900,"Gerai Snack Official Shop","Kab. Tangerang","NaN",100
324,"seblak basah instant menak",12000,"keranjang bandung","Cimahi","5",25
325,"Seblak Instan Pedas Kuah Bandung/Seblak Komplit Murah Mantull",6000,"FAN SNACK","Kab. Kebumen","NaN",0
326,"Seblak instan komplit murah",5500,"lisdhacollection","Kab. Garut","5",21
327,"Seblak Instant Mommy",12500,"Jacqkids","Bandung","4.8",500
328,"Seblak Basah Instan Good Friend (90gr)",17700,"Gerai Snack Official Shop","Kab. Tangerang","5",50
329,"PAKET HEMAT 4 PACK SEBLAK BLAKAN | Seblak & Baso Aci Instan",68000,"seblakblakan","Kab. Sukabumi","5",9
330,"Makanan Instan Seblak Instan Makanan Seblak Instan Jeletot Bandung",4500,"KACIDA Raja Cemilan","Kab. Bandung","4.8",100
331,"Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral",85000,"Central Seblak Nusantara","Tangerang Selatan","5",40
332,"Seblak Instan Enak | Makanan Instan Murah | HALAL",5352,"Crave_Store.id","Kab. Garut","4.8",40
333,"SEBLAK BASO ACI INSTAN / SEBLAK INSTAN BANDUNG",7500,"CwanMe-id","Bandung","5",2000
334,"SEBLAK BASAH INSTAN MOMMY",17000,"Galeri Nayra","Surabaya","4.7",40
335,"Cuanki Seblak Baso Aci Boci Express Instant Kuliner Bandung Pilih",10000,"Ebay Store","Kab. Tangerang","5",30
336,"SEBLAK MIE / SOUN GEPREK INSTAN SEDUH SAMI RAOS",16000,"Yellowssnack","Batu","NaN",8
337,"Seblak Instant Viral Khas Sajodo Snack & Food",24500,"Foodstocks","Jakarta Selatan","5",4
338,"Seblak Instan/ Camilan Seblak Instan",5000,"Bonsnack.","Kab. Cianjur","NaN",7
339,"SAMIRAOS - Mie Seblak Goreng Geprek instant samiraos",15900,"sinergi snack","Depok","5",9
340,"seblak instan carla komplit batagor siomay jajanan khas bandung",14500,"humaniss","Tangerang Selatan","5",11
341,"5 Pack Seblak Instant CARLA",74900,"Seblak carla","Tangerang","5",70
342,"Seblak Nova Instan Refill",15750,"Shoppu Zyz","Depok","NaN",0
343,"Seblak/Cuanki/Baso aci/Batagor kuah (instan) 1porsi. toping lengkap",7500,"Aliya28","Tangerang Selatan","5",100
344,"SEBLAK INSTAN SEHAT NON MSG",6000,"newtopik","Bandung","4.8",100
345,"Seblak instant murah",4900,"dapurbulbin","Bandung","NaN",0
346,"Carla seblak instant 100 gram",12000,"anto frozen food","Tangerang","NaN",4
347,"Seblak Instan Carla 100gr",14000,"3Key Frozen","Tangerang","5",30
348,"Seblak Instan Ma'aciihhh ( First Hand )",18000,"NiceShop_ID","Kab. Bandung Barat","NaN",2
349,"Seblak Instan Cup D34",20000,"seblak Dea klayatan","Malang","5",4
350,"SEBLAK ACI INSTAN JAGUAR TERLEZAT MIE SEBLAK INSTANT JAGUAR SEBLAK",7999,"Uai Food","Surabaya","4.9",80
351,"Seblak Instant Terciduk 100gram",11400,"genta_semesta","Malang","4.9",60
352,"SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN",17850,"TOBELO SHOP","Tangerang","4.8",100
353,"Seblak Instan",5000,"kios baju anak (puji)","Kab. Demak","5",40
354,"Seblak Instan Termurah",7850,"Kova's Kitchen","Bekasi","NaN",3
355,"Seblak Instan komplit",19000,"Rela Setia","Kab. Garut","5",5
356,"Cuankie Lidah Topping Baso Aci / Seblak Instan",6250,"chairunnisa_id","Tasikmalaya","5",6
357,"seblak instant komplit lezat tinggal tuang air panas",9000,"HPL dot com","Surakarta","4",4
358,"Seblak ORI lngkap instan",4666,"Wesjelasfood","Surabaya","NaN",0
359,"SEBLAK INSTAN KHUSUS RESELLER",20000,"Basrengbaba","Kab. Bandung","5",100
360,"SEBLAK BARAKA SUNDANESE INSTANT CUP",16000,"Baraka Sundanese","Kab. Sleman","5",11
361,"GROSIR Cuanki Lidah Toping Baso Aci dan Seblak Instan Isi 50 Pcs",14999,"Baso Aci Ayang","Kab. Garut","4.8",30
362,"Paket Hemat SEBLAK Instan 10pcs / Seblak Instan Homemade / Seblak Bilqis",39900,"TOKO BILQIS OFFICIAL STORE","Kab. Jombang","NaN",0
363,"seblak instant khas bandung",62000,"Seblak Alipbata","Tangerang","4.8",100
364,"SAMIRAOS - Mie Seblak kuah Geprek instant samiraos",15900,"sinergi snack","Depok","5",9
365,"Mau Seblak - Seblak Instant Tulang Rangu - Bumbu Racikan Asli - Halal",12000,"youngsnack_","Kab. Bogor","5",1
366,"Bumbubuk Bumbu Seblak 180 gr/ Bumbu Instan / Bumbu seblak / Bawang Putih / Kencur / Bumbu Racik / Bumbu Pasta / Seblak Instant",20000,"Bumbubuk","Bandung","NaN",1
367,"tY_ SEBLAK INSTAN MANG MUSS",16799,"ance_anggraenyaa","Jakarta Pusat","NaN",0
368,"Seblak Instan Cilok",17000,"Rumah Seblak, Bandung","Kab. Bekasi","4.9",30
369,"PAKET 1 BOCI EXTRA PEDAS + 1 TULANG RANGU + 1 SEBLAK BASRANGER INSTANT",50000,"JM Snacks","Bandung","4.8",40
370,"SEBLAK instan rasanya Kemecerr puoll",7000,"UD. MAVA BERKAH TANI","Kab. Lamongan","NaN",0
371,"populer SEBLAK BAPER INSTAN Original BEST SELLER Makanan Cemilan Pedas",27000,"najwa.902.","Bandung","NaN",3
372,"Seblak Instan IGA",27000,"Rumah Seblak, Bandung","Kab. Bekasi","5",12
373,"Seblak Instan",9000,"Suncity.","Kab. Tangerang","4.6",60
374,"READY STOCK SEBLAK INSTAN PREMIUM BANGSATRIA (Paket 2 bks) Organik Pedas Alami Ori!!",77000,"Pesut Etamz","Medan","NaN",0
375,"BUMBU KENCUR SEBLAK INSTANT",1200,"Pusat Cuankie & Cemilan Frozen","Jakarta Timur","5",500
376,"× Geli Food - Seblak Ceker Tanpa Tulang Instan ( Dakbal Bumbu Seblak",28000,"GibranHaidar","Bandung","NaN",0
377,"Seblak instant komplit",10000,"frozzyoyshop","Depok","4.8",500
378,"PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak",4180,"ivy's-kitchen","Kab. Cirebon","4.7",750
379,"Paket Isi 6 Cuanki Instan Lakoca | Latagor | Seblak | Makaroni",93840,"Lakoca Official Shop","Cimahi","4.9",50
380,"SEBLAK BASAH INSTAN - BABA SEBLAK BANDUNG",18000,"Maher-Store","Kab. Bandung","5",250
381,"BUMBU INSTANT SEBLAK 500 GRAM GURIH ASIN TAWAR TABUR KILOAN RACIK TERMURAH BAKSO CUANKI",10000,"ARDJOENA_OLSHOP","Kab. Bekasi","NaN",9
382,"bumbu seblak instan",13000,"MD123","Tasikmalaya","NaN",0
383,"# TERCIDUK - PAKET (3 BUNGKUS) SEBLAK INSTAN KUAH CIKUR REMPAH KHAS BANDUNG #",43000,"AVIAN DJAYA1","Jakarta Utara","NaN",0
384,"Seblak Sultan instant",14000,"Sultan Meat Shop","Medan","NaN",250
385,"Seblak Instan Premium Bangsatria",21000,"Foodstocks","Jakarta Selatan","NaN",100
386,"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",13500,"Brother Meat Shop","Jakarta Selatan","NaN",250
387,"Paket Isi 6 Cuanki Instan Lakoca | Latagor | Seblak | Makaroni",93840,"Lakoca Official Shop","Cimahi","NaN",50
388,"Seblak Instant Viral Khas Sajodo Snack & Food",24500,"Foodstocks","Jakarta Selatan","NaN",4
389,"Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr",18900,"Foodstocks","Jakarta Selatan","5",100
390,"Seblak instan Pedess bandung",6500,"Angsa Collections","Jakarta Barat","4.5",250
391,"Seblak Instan Preanger Enak, Gurih dan Pedas",22000,"Seblak Preanger Official","Kab. Jember","5",40
392,"Boci TERCIDUK Baso aci instan baciduk bacitul tulang rangu seblak tek",14500,"MelaBoci","Surabaya","4",23
393,"PAKET SEBLAK INSTAN ISI 10 PCS PEDAS MAKNYOS",48500,"MAMIN.ID","Kab. Bandung","NaN",0
394,"Seblak instan komplit / seblak instan murah",5000,"ismileusa_id","Kab. Bandung","NaN",1000
395,"Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS",93840,"Lakoca Official Shop","Cimahi","NaN",100
396,"Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung",19110,"Foodstocks","Jakarta Selatan","NaN",250
397,"Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah",64906,"Lakoca Official Shop","Cimahi","NaN",30
398,"Seblak Instant Basranger Extra Pedas Daun Jeruk Porsi Banyak",16625,"Foodstocks","Jakarta Selatan","NaN",25
399,"Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS",93840,"Lakoca Official Shop","Cimahi","4.8",100
400,"Seblak Basah Instan Mommy Paket 10 cup",125000,"Mommy_Indo","Cimahi","NaN",0
401,"Cuanki Lidah Toping Baso Aci dan Seblak Instan Isi 150 Pcs",37999,"Baso Aci Ayang","Kab. Garut","5",9
402,"Seblak Instant Pedas Cadas Mantab",16500,"Bianzi Food","Jakarta Selatan","5",50
403,"GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap",16618,"Lakoca Official Shop","Cimahi","4.9",100
404,"seblak instant komplit",7599,"Collection_bywinda","Bandung","4.7",100
405,"SEBLAK instan gundik bandung BY",16800,"Belanjaa Yuk","Jakarta Barat","5",1
406,"seblak rafael instan 250grm dapet emas",15000,"Beledag Baper Pelangi Wijaya","Kab.Ciamis","NaN",0
407,"seblak instan komplit pedas Terlaris",16000,"RIKI STORE 97","Kab. Bogor","NaN",1
408,"SEBLAK instant Komplit murah",16000,"RIKI STORE 97","Kab. Bogor","NaN",0
409,"Indomie Mie Goreng Rendang Empal Gentong Iga Penyet Mie Aceh Kebab Rendang Ayamg Panggang Rica-rica Soto Soto Special Soto Lamongan Kari Ayam Ayam Bawang Ayam Special Kaldu Ayam Soto Banjar Seblak Hot Jeletot Cabe Ijo Mie Instant 5 Pcs",27500,"Toko-SRF","Jakarta Selatan","NaN",8
410,"Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr",18900,"Foodstocks","Jakarta Selatan","NaN",100
411,"SEBLAK INSTAN MANG MUSS",14999,"Seblak Mang Muss","Tasikmalaya","NaN",750
412,"Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr)",19700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",100
413,"Seblak Basah Instant Pedas / Extra Pedas",20000,"kualikika","Kab. Tangerang","5",40
414,"seblak instan jawara pedas sehot bandung",13000,"cemilan Bandungstore","Cimahi","5",70
415,"seblak instan KSN frozen",11500,"Pelangi Girls Naget 2","Depok","5",100
416,"Grosir [Super Murah] Seblak Kemasan Instant Reseller Pouch Sachet",6500,"Lily Story","Jakarta Barat","NaN",0
417,"[TERENAK] Seblak Bandung | Seblak Instan Bandung || Seblak Instan enak",5999,"Dzia Store","Tasikmalaya","4.9",80
418,"Seblak Bapper Hot Spicy Seblak Pedas Instant",17000,"QilaFoodies","Surabaya","5",3
419,"Seblak Instan Termurah Terlaris",5000,"Seblak Hot Jeletot","Medan","NaN",0
420,"Cabe bubuk untuk Boci/Seblak/Cuanki instan",800,"kios baju anak (puji)","Kab. Demak","5",25
421,"Cemilan Seblak Instan Chee-Bhot Rasa Original",14900,"cheebhot Official","Cimahi","5",3
422,"Bumbu Instant Cuanki / Baso Aci / Seblak Kemasan Ecer",650,"Bara Snack Kediri 1","Kediri","5",8
423,"Seblak Instan Chilli",5000,"Snack Mama14","Pekanbaru","NaN",0
424,"Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr",20700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",100
425,"Kylafood Seblak Rempah Autentik isi (5pcs)",64500,"kylafood","Bandung","NaN",500
426,"Seblak Basah Instan Good Friend (90gr)",17700,"Gerai Snack Official Shop","Kab. Tangerang","NaN",50
427,"SEBLAK BANTAT PEDAS CIKUR 200gr",15000,"KRACemils","Kab. Bandung","NaN",0
428,"lumpia seblak / seblak crispy",16000,"Ratih Frozen Food","Depok","NaN",0
429,"hampers seblak instan",70000,"Elzahirahstore","Cilegon","5",10
430,"(HARGA TERMURAH) seblak instan mantap",10000,"binbond store007","Bandung","NaN",0
431,"seblak instan mie bakso om brewok",16000,"Muysproduct","Kab. Bogor","5",5
432,"Seblak Instan",10000,"Toko Mas Cris","Mataram","5",3
433,"Khalisa Food - Seblak Instan Kemasan Premium",17500,"Bacimut Garut","Kab. Garut","NaN",0
434,"Seblak  Instant  Homemade",7750,"WarunkFikaFira","Jakarta Barat","4.7",6
435,"Seblak Instan/ Seblak Kerupuk Instan / Seblak Kencur/ Seblak Jadoel",7500,"Warung TAMSIL","Kab. Garut","4.7",30
436,"seblak instan",15000,"Mili Shop Bandung","Bandung","5",40
437,"Seblak Instan Cobek Bacitul Isi Baso Cilok Tulang Kwetiau Kerupuk",22000,"Seblak Teh Ida Braga","Bandung","5",4
438,"cik'emam All Varian | Baso Aci kuah pedas | seblak seuhah instan",13000,"LDRFOOD22","Cimahi","5",30
439,"Seblak Instan Komplit Siap Masak",6000,"alghazalisport","Kab. Bandung","5",27
440,"Seblak Instan Mini Paket Usaha  Isi 55Pcs",151000,"abdulmarrt","Tangerang","NaN",0
441,"mie seblak instan kuah super pedas",6000,"alif leather 10","Kab. Garut","5",10
442,"cuanki lidah 500 pcs / 1 ball topping baso aci / seblak / mie instan",180000,"Botak baso aci","Jakarta Barat","5",7
443,"mie seblak instan kuah",6000,"alif leather 10","Kab. Garut","5",2
444,"SEBLAK INSTAN MERCON TERMURAH",14985,"@VHIT","Jakarta Pusat","NaN",0
445,"seblak instan/Sale jari Produk TNR",15000,"chimimochi","Kab. Cianjur","5",21
446,"Seblak Box Instan",16000,"Surgajajan","Kab. Sidoarjo","NaN",0
447,"BASO ACI INSTANT x SEBLAK INSTANT - HALU! EMAK INDAH FOOD",44600,"Pempek Emak Indah","Jakarta Barat","4.9",60
448,"Jajanan Bandung Camilan Instant Seblak 150gr",15000,"Warung Maacih Official","Bandung","5",14
449,"SEBLAK KERUPUK BABANGI GOANG INSTAN",10000,"I-AG SHOP","Kab. Sumedang","NaN",0
450,"Seblak baso aci instant",20000,"ZDN Snacky","Tangerang Selatan","5",2
451,"PRODUK TERBATAS Rasa Juara - 6 Pcs Seblak Juara Instan Masak Basah",184000,"Corner Pemuda Shop","Jakarta Barat","NaN",0
452,"SEBLAK INSTAN ORIGINAL ISI CILOK KERUPUK MACARONI KWETIAU SIOMAY",15000,"Seblak Teh Ida Braga","Bandung","5",3
453,"SEBLAK INSTANT",13000,"Baso aci hen & hay","Batam","5",1
454,"seblak instan",4999,"M.A.A.T","Cilegon","5",6
455,"(MIN10 PAKET RESELLER) Seblak BERKAH Cemilan Instant Bandung Batagor",14000,"Hamood Store 7","Jakarta Pusat","NaN",0
456,"SEBLAK INSTAN SUKI JELETOR SRFOOD BANDUNG",22500,"PUSAT SEBLAK DAN CEMILAN BANDUNG","Kab. Bandung","NaN",0
457,"(Beli 1 Gratis 1, Jadi Dapet 2 PCS Ya Bunda) SEBLAK MERCON Juara Dunia By JRD Instant Food",11000,"Warung Bakso Nusantara","Kab. Garut","NaN",0
458,"SEBLAK INSTANT SULTAN BANDUNG",15000,"Basreng Sultan Bandung","Kab. Bandung","NaN",0
459,"Seblak Yumna Instan Homade",4999,"Baby Yumna Store","Kab. Sidoarjo","NaN",0
460,"Seblak Cilok, Seblak Cilok Instan, Seblak Cilok Aci",19000,"JES Snack","Cimahi","5",3
461,"12bks seblak instan Khas Lemburkuring ",48000,"Lemburkuring Official","Kab. Garut","NaN",0
462,"Seblak Instan tulang rangu",20000,"Rumah Seblak, Bandung","Kab. Bekasi","4.9",60
463,"BASRANGER~Seblak instan 200gr",14000,"saffira2020","Kab. Pandeglang","5",17
464,"Kylafood Seblak Cup isi 2 pcs",31800,"kylafood","Bandung","NaN",100
465,"Batagor Aisha Frozen - Full Pangsit",26000,"Siomay Aisha Frozen","Depok","NaN",4000
466,"Kylafood Paket Seblak Cup isi 4 pcs",63600,"kylafood","Bandung","NaN",100
467,"Baso Kampung Bapper Komplit Extra Mie Kuning Khas Bandung",28500,"Foodstocks","Jakarta Selatan","NaN",2
468,"Kylafood Seblak Mie Baso Sapi Play",27500,"kylafood","Bandung","NaN",500
469,"Mie kecil homemade DENGAN BUMBU MIE BANDUNG ACHEN mentah mie frozen yamin yamien 100%halal",10000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",0
470,"Kylafood Paket Seblak Cup isi 4 pcs",63600,"kylafood","Bandung","NaN",100
471,"Mie kecil homemade tanpa bumbu MIE BANDUNG ACHEN mentah mie frozen yamin yamien 100%halal",7000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",1
472,"Kylafood Mix Pentol Kuah dan Seblak Original",50000,"kylafood","Bandung","NaN",70
473,"Walang / Belalang Goreng Simeut Abah Geyot",19999,"Gerai Singawada","Kab. Majalengka","NaN",1000
474,"Seblak Instan Komplit Makanan Instan",120000,"JUHINDET MAFERT582","Surabaya","NaN",0
475,"Seblak instant Chee-Bhot Khas Bandung",14900,"cheebhot Official","Cimahi","NaN",2
476,"seblak instan viral cs teh dina (porsi mukbang)",35000,"rumah_parkit_yayan_sopian","Kab. Bandung","NaN",0
477,"Seblak Instan Cheebhot Ayam Pedas",19999,"JM Snacks","Bandung","4.8",14
478,"(READY STOCK) SEBLAK INSTAN SAJODO SNACK TERVIRAL & TERENAK",27000,"jimshoney.surabaya","Surabaya","3.7",5
479,"Kylafood Paket Paket 2 Seblak Cup + 4 Seblak Autentik",83400,"kylafood","Bandung","NaN",25
480,"sagu mini / okesnack",13000,"oke snack","Jakarta Selatan","NaN",250
481,"Kylafood Seblak Kwetiaw",23500,"kylafood","Bandung","NaN",4000
