"id","product","price","seller","city","rating","sold"
52,"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",65000,"Sajodo Snack & Food","Tasikmalaya","5",18
53,"[READY MEDAN] Seblak Marenta Instan Asli Bandung Komplit Pedas Gurih",18000,"CemilanPuas","Medan","5",50
54,"baso aci / seblak instan",6000,"Nyum_mama","Pekanbaru","4.8",100
55,"seblak instant sajodo snak",18950,"hikmah berkah jaya","Jakarta Barat","4.9",1000
56,"SEBLAK CUANKI KUAH CUP INSTAN PUSPA ( PUSAKA PARAHYANGAN ) 6 min",12500,"Berkah Niaga Jaya","Kab. Garut","4.9",750
57,"Batagor Seblak Cuanki Kuah Rebus Instan Ma Acih Cemilan Tradisional",21750,"TOSERDA","Bandung","4.8",100
58,"seblak merapi instan pedas praktis",7500,"alfirayhan","Kab. Garut","NaN",0
59,"Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan",17000,"Central Seblak Nusantara","Tangerang Selatan","4.9",2000
60,"paket hemat 4 seblak aceng 4 cuanki instan dan 4 baso aci",60000,"cemilan Bandungstore","Cimahi","4.8",17
61,"(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta",8380,"karoppotta official","Makassar","4.9",100
62,"SEBLAK INSTAN PEDAS DAN GURIH",4999,"Indhymarket","Depok","5",50
63,"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",22500,"global cookware1","Jakarta Barat","4.8",1000
64,"SEBLAK INSTAN SAJODO SNACK & FOOD",26000,"Sajodo Snack & Food","Tasikmalaya","5",3
65,"Bumbu Instan Cimol Seblak Cilok Atoom Atom Bulan Grosir",1000,"yohangunawan94","Bandung","5",4000
66,"SEBLAK INSTAN KOMPLIT BY MAMAKE",16000,"ngemilasik_19","Kab. Badung","5",30
67,"SAMBAL BUMBU SEBLAK / SEBLAK INSTAN / SEBLAK PRAKTIS / PEDAS GURIH",3500,"Uai Food","Surabaya","4.6",80
68,"12PCS SEBLAK INSTAN KHAS BANDUNG",30000,"Warungceria2020","Kab. Garut","5",21
69,"[READY MEDAN] Seblak Bandung Instan Super Pedas Termurah Lidah Cuanki",6900,"CemilanPuas","Medan","4.8",500
70,"SEBLAK INSTAN MERCON",3999,"dapurmami id","Tangerang","4.8",50
71,"SEBLAK INSTAN MOMMY",13900,"Rav Jaya Display","Kab. Tangerang","4.8",1000
72,"SEBLAK JUMBO + SOSIS INSTANT",7450,"Pusat Cuankie & Cemilan Frozen","Jakarta Timur","4.8",1000
73,"Seblak Instan extraHot",4500,"sentosa jaya cuanki","Kab. Garut","4.9",5000
74,"Bumbu Seblak Instan 15gr Bisa Untuk 2porsi",2900,"Hokishopsurabaya","Surabaya","5",2
75,"SEBLAK INSTAN | SEBLAK INSTAN HOMEMADE SUPER LENGKAP",4900,"Kairashop_id","Surabaya","4.6",100
76,"seblak basah instan komplit 200gr",12000,"Kickball Official","Bandung","5",70
77,"[TERMURAH!!] Seblak Instant Basranger Extra Pedas 200gram",14500,"duniacemilan","Bandung","5",100
78,"YIMS seblak instant box termurah teh kerupuk seblak pedas khas garut",7650,"Yimshop","Semarang","4.7",80
79,"Cuanki Kuah Cuanki Instan Cuanki lidah Topping Baso Aci Seblak",7000,"FAG COLLECTION","Surabaya","5",10
80,"SEBLAK INSTAN / TERLARIS NO. 1 GOYANG LIDAH NGABRETT",3000,"binbond store007","Bandung","NaN",0
81,"Kylafood Seblak Cup isi 2 pcs",31800,"kylafood","Bandung","NaN",100
82,"Batagor Aisha Frozen - Full Pangsit",26000,"Siomay Aisha Frozen","Depok","NaN",4000
83,"Kylafood Paket Seblak Cup isi 4 pcs",63600,"kylafood","Bandung","NaN",100
84,"Baso Kampung Bapper Komplit Extra Mie Kuning Khas Bandung",28500,"Foodstocks","Jakarta Selatan","NaN",2
85,"Kylafood Seblak Mie Baso Sapi Play",27500,"kylafood","Bandung","NaN",500
86,"Mie kecil homemade DENGAN BUMBU MIE BANDUNG ACHEN mentah mie frozen yamin yamien 100%halal",10000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",0
87,"Kylafood Paket 4Seblak Cup  + 1basreng pedas + 1Seblak Autentik (Free)",79500,"kylafood","Bandung","NaN",5
88,"Mie kecil homemade tanpa bumbu MIE BANDUNG ACHEN mentah mie frozen yamin yamien 100%halal",7000,"Mie Bandung Achen","Kab. Bandung Barat","NaN",1
89,"Kylafood Mix Pentol Kuah dan Seblak Original",50000,"kylafood","Bandung","NaN",70
90,"Walang / Belalang Goreng Simeut Abah Geyot",19999,"Gerai Singawada","Kab. Majalengka","NaN",1000
91,"seblak instant komplit si mpow murah",3900,"soenandar group","Kab.Ciamis","4.8",40
92,"seblak instan isi 250g / seblak bondol / seblak pedas / kuliner bondol",18999,"KULINER KHAS SUKABUMI","Kab. Sukabumi","5",100
93,"Seblak Instan Campur",12000,"Lambe Nyeblak Store","Jakarta Timur","5",30
94,"Bumbu Seblak instan Cak Mimin",19900,"Warung Rizkimaret","Surabaya","5",0
95,"Seblak instan / seblak instan BANDUNG / seblak instan pedas",4200,"AZKIA RASA","Kab. Tasikmalaya","4.9",100
